,Sample name,Cruise series,GEOTRACES section,Cruise ID,Cruise Station,Collection Date,Depth (m),env_biome,env_feature,env_material,geo_loc_name,Latitude and Longitude,Bottle ID,NCBI BioProject,NCBI SRA Study,NCBI BioSample,NCBI SRA Accession,Total read pairs,Total bases,NCBI SRA Accession for assembled metagenome contigs,Assembly method and version,Unnamed: 21
183,S0196,GEOTRACES,GA02,JC057,15,2011-03-23T11:11:00,10,ocean_biome,ocean,water,Atlantic Ocean,9.1608 S 28.0012 W,638855,PRJNA385854,SRP110813,SAMN07136666,SRR5788187,19005470,5701641000,SRZ187389,metaSPAdes v3.9.0,
24,S0027,GEOTRACES,GA02,PE319,17,2010-05-21T13:30:00,10,ocean_biome,ocean,water,Atlantic Ocean,34.3277 N 55.4316 W,632129,PRJNA385854,SRP110813,SAMN07136507,SRR5788367,50998999,15299699700,SRZ187230,metaSPAdes v3.9.0,
6,S0008,GEOTRACES,GA02,PE319,12,2010-05-12T20:39:00,10,ocean_biome,ocean,water,Atlantic Ocean,46.312 N 39.658 W,631829,PRJNA385854,SRP110813,SAMN07136489,SRR5788234,25267615,7580284500,SRZ187212,metaSPAdes v3.9.0,
195,S0209,GEOTRACES,GA02,JC057,1,2011-03-05T20:56:00,10,ocean_biome,ocean,water,Atlantic Ocean,49.5475 S 52.6885 W,637580,PRJNA385854,SRP110813,SAMN07136678,SRR5788347,19573073,5871921900,SRZ187401,metaSPAdes v3.9.0,
186,S0199,GEOTRACES,GA02,JC057,16,2011-03-24T12:54:00,10,ocean_biome,ocean,water,Atlantic Ocean,5.6667 S 28.4572 W,638927,PRJNA385854,SRP110813,SAMN07136669,SRR5788182,27931995,8379598500,SRZ187392,metaSPAdes v3.9.0,
189,S0202,GEOTRACES,GA02,JC057,17,2011-03-25T21:08:00,10,ocean_biome,ocean,water,Atlantic Ocean,2.6505 S 28.9172 W,639206,PRJNA385854,SRP110813,SAMN07136672,SRR5788181,19471955,5841586500,SRZ187395,metaSPAdes v3.9.0,
18,S0021,GEOTRACES,GA02,PE319,15,2010-05-18T13:22:00,10,ocean_biome,ocean,water,Atlantic Ocean,37.5673 N 50.6855 W,632459,PRJNA385854,SRP110813,SAMN07136501,SRR5788428,23533825,7060147500,SRZ187224,metaSPAdes v3.9.0,
200,S0214,GEOTRACES,GA02,JC057,3,2011-03-08T03:21:00,10,ocean_biome,ocean,water,Atlantic Ocean,46.907 S 47.179 W,638012,PRJNA385854,SRP110813,SAMN07136683,SRR5788104,24326587,7297976100,SRZ187406,metaSPAdes v3.9.0,
203,S0217,GEOTRACES,GA02,JC057,4,2011-03-09T03:22:00,10,ocean_biome,ocean,water,Atlantic Ocean,44.7117 S 45.5265 W,638156,PRJNA385854,SRP110813,SAMN07136686,SRR5788105,24739783,7421934900,SRZ187409,metaSPAdes v3.9.0,
0,S0001,GEOTRACES,GA02,PE319,10,2010-05-10T12:13:00,10,ocean_biome,ocean,water,Atlantic Ocean,49.7225 N 42.4467 W,631397,PRJNA385854,SRP110813,SAMN07136483,SRR5788236,20058749,6017624700,SRZ187206,metaSPAdes v3.9.0,
179,S0191,GEOTRACES,GA02,JC057,14,2011-03-22T01:00:00,10,ocean_biome,ocean,water,Atlantic Ocean,12.8957 S 29.2335 W,638711,PRJNA385854,SRP110813,SAMN07136662,SRR5788015,23901114,7170334200,SRZ187385,metaSPAdes v3.9.0,
167,S0179,GEOTRACES,GA02,JC057,9,2011-03-14T18:45:00,10,ocean_biome,ocean,water,Atlantic Ocean,32.092 S 37.4563 W,639548,PRJNA385854,SRP110813,SAMN07136650,SRR5788382,27291600,8187480000,SRZ187373,metaSPAdes v3.9.0,
206,S0220,GEOTRACES,GA02,JC057,5,2011-03-10T02:43:00,10,ocean_biome,ocean,water,Atlantic Ocean,42.364 S 44.0318 W,638300,PRJNA385854,SRP110813,SAMN07136689,SRR5788060,25044040,7513212000,SRZ187412,metaSPAdes v3.9.0,
209,S0223,GEOTRACES,GA02,JC057,6,2011-03-11T02:17:00,10,ocean_biome,ocean,water,Atlantic Ocean,39.9648 S 42.4232 W,636995,PRJNA385854,SRP110813,SAMN07136692,SRR5788047,27158330,8147499000,SRZ187415,metaSPAdes v3.9.0,
438,S0459,GEOTRACES,GA10,D357,3,2010-10-23T03:39:00,10,ocean_biome,ocean,water,Atlantic Ocean,36.48458 S 13.276 E,237705,PRJNA385854,SRP110813,SAMN07136921,SRR5788034,35885564,10765669200,SRZ187644,metaSPAdes v3.9.0,
172,S0184,GEOTRACES,GA02,JC057,11,2011-03-17T00:34:00,10,ocean_biome,ocean,water,Atlantic Ocean,26.0867 S 34.2585 W,639764,PRJNA385854,SRP110813,SAMN07136655,SRR5788022,26689064,8006719200,SRZ187378,metaSPAdes v3.9.0,
155,S0163,GEOTRACES,GA02,PE321,21,2010-06-13T00:53:00,10,ocean_biome,ocean,water,Atlantic Ocean,31.6667 N 64.167 W,633860,PRJNA385854,SRP110813,SAMN07136638,SRR5788287,38006969,11402090700,SRZ187361,metaSPAdes v3.9.0,
